Timestamp,Analog1_chA,Analog1_chB,other
3772,1703.000,1208.000,
3776,1716.000,1198.000,
3780,1719.000,1205.000,
3784,1741.000,1215.000,
3788,1768.000,1236.000,
3792,1789.000,1240.000,
3796,1816.000,1246.000,
3800,1856.000,1271.000,
3804,1895.000,1302.000,
3808,1936.000,1322.000,
3812,1979.000,1332.000,
3816,2031.000,1359.000,
3820,2088.000,1406.000,
3824,2136.000,1431.000,
3828,2172.000,1449.000,
3832,2231.000,1483.000,
3836,2293.000,1529.000,
3840,2335.000,1556.000,
3844,2378.000,1680.000,
3848,2340.000,1646.000,
3852,2304.000,1632.000,
3856,2269.000,1622.000,
3860,2231.000,1594.000,
3864,2183.000,1562.000,
3868,2147.000,1540.000,
3872,2117.000,1536.000,
3876,2079.000,1501.000,
3880,2039.000,1472.000,
3884,2022.000,1451.000,
3888,1990.000,1441.000,
3892,1969.000,1423.000,
3896,1931.000,1396.000,
3900,1917.000,1373.000,
3904,1895.000,1370.000,
3908,1885.000,1360.000,
3912,1858.000,1344.000,
3916,1848.000,1320.000,
3920,1835.000,1319.000,
3924,1823.000,1312.000,
3928,1805.000,1289.000,
3932,1796.000,1270.000,
3936,1783.000,1271.000,
3940,1774.000,1272.000,
3944,1758.000,1257.000,
3948,1745.000,1234.000,
3952,1737.000,1244.000,
3956,1730.000,1243.000,
3960,1722.000,1223.000,
3964,1703.000,1213.000,
3968,1704.000,1211.000,
3972,1696.000,1216.000,
3976,1692.000,1204.000,
3980,1688.000,1192.000,
3984,1687.000,1200.000,
3988,1697.000,1210.000,
3992,1696.000,1202.000,
3996,1693.000,1196.000,
4000,1687.000,1195.000,
4004,1705.000,1208.000,
4008,1708.000,1202.000,
4012,1708.000,1204.000,
4016,1716.000,1206.000,
4020,1730.000,1223.000,
4024,1741.000,1224.000,
4028,1744.000,1212.000,
