Timestamp,Analog1_chA,Analog1_chB
3844,3174.000,2161.000,
3848,3178.000,2144.000,
3852,3175.000,2151.000,
3856,3175.000,2164.000,
3860,3178.000,2160.000,
3864,3181.000,2141.000,
3868,3194.000,2150.000,
3872,3193.000,2164.000,
3876,3207.000,2165.000,
3880,3219.000,2150.000,
3884,3224.000,2156.000,
3888,3233.000,2175.000,
3892,3237.000,2184.000,
3896,3244.000,2172.000,
3900,3260.000,2170.000,
3904,3259.000,2196.000,
3908,3274.000,2208.000,
3912,3285.000,2195.000,
3916,3292.000,2189.000,
3920,3283.000,2202.000,
3924,3295.000,2217.000,
3928,3300.000,2206.000,
3932,3312.000,2208.000,
3936,3310.000,2216.000,
3940,3308.000,2228.000,
3944,3319.000,2222.000,
3948,3326.000,2203.000,
3952,3320.000,2215.000,
3956,3315.000,2235.000,
3960,3319.000,2226.000,
3964,3318.000,2216.000,
3968,3317.000,2221.000,
3972,3323.000,2233.000,
3976,3307.000,2231.000,
3980,3316.000,2210.000,
3984,3309.000,2220.000,
3988,3305.000,2235.000,
3992,3307.000,2235.000,
3996,3317.000,2209.000,
4000,3308.000,2219.000,
4004,3284.000,2210.000,
4008,3280.000,2226.000,
4012,3282.000,2211.000,
4016,3284.000,2193.000,
4020,3280.000,2204.000,
4024,3274.000,2218.000,
4028,3278.000,2201.000,
4032,3287.000,2193.000,
